full_name,email,phone,role,subteam,school,grade,company
Thomas Ortiz,marshpaul@gmail.com,995.698.5709x9575,staff,registration,North Jennifer University,senior,Watkins PLC
Tyler Ford,gilbertshannon@gmail.com,+1-789-969-3259x03952,staff,registration,Yvonneport University,sophomore,Norris Inc
Erica Smith,mcooper@hotmail.com,729.627.3445x471,attendee,,South Sabrinaborough University,graduate,Miller and Sons
Laura Munoz,dspears@hotmail.com,001-283-260-1218,attendee,,Warrenview University,other,Williams Group
Michael Weaver,tjones@gmail.com,698.384.5114,attendee,,West Melissa University,other,Peterson Inc
Matthew Hunt,qshaffer@yahoo.com,318.448.6956x23704,staff,security,Richardside University,freshman,"Davenport, Parks and Ferguson"
Brenda Ellis,bknight@hotmail.com,001-736-476-7975x7785,attendee,,West Lisaside University,senior,Romero-Mcguire
Jeremy Fischer,annettewilliams@yahoo.com,7029412676,attendee,,East Amanda University,junior,Jenkins Ltd
Kim Williams,natalie92@gmail.com,657-293-7844x2413,attendee,,North Robert University,sophomore,Alvarado-Clayton
Timothy Lopez,wendy99@yahoo.com,543.905.5528x993,attendee,,Lake Robertville University,freshman,Allen Inc
Lisa Thompson,patrickblair@hotmail.com,765-334-8488x93890,attendee,,Mcintoshtown University,freshman,"Brown, Day and Moody"
Christina Brown,mariahayes@gmail.com,967.493.9167x50623,attendee,,Lake David University,sophomore,"Douglas, Dickson and Chavez"
Shawn Murillo,xgardner@hotmail.com,346.722.1694x21086,attendee,,East Matthewmouth University,sophomore,Garcia-Taylor
Richard Dixon,thomas43@yahoo.com,332-677-4886,attendee,,Isaiahfurt University,senior,Baker LLC
Christopher Mason,ghunt@yahoo.com,290-391-7352x27862,attendee,,North Jacob University,other,"Holmes, Lee and Duke"
Megan Lawrence,smithandres@gmail.com,(931)240-2572,staff,registration,West Gregory University,senior,Rodriguez-Sanders
Mary Clay,agross@gmail.com,001-937-765-3808x919,attendee,,West Brett University,graduate,"Johnson, Mckinney and Hunt"
Lisa Bradford,christopher00@hotmail.com,+1-832-990-8618,attendee,,West Christina University,junior,Miller-Freeman
John Bush,angelagibson@gmail.com,9895579690,attendee,,East Carlbury University,graduate,Garcia-Cain
Bradley Sanchez,cruzsusan@yahoo.com,505-636-3858,staff,operations,Michaelview University,senior,"Jacobs, Butler and Campbell"
Jesse Payne,darrensoto@yahoo.com,001-828-556-9805,staff,registration,Erinland University,freshman,Davis Group
Marvin Banks,greeneluke@hotmail.com,(798)264-4390x00626,attendee,,Lake Kyletown University,sophomore,"Johnson, Miller and Gonzales"
Wanda Guerrero,kathleenlynch@yahoo.com,(345)422-2102,staff,registration,Lake Timothy University,freshman,"Kerr, Smith and Armstrong"
Alexis Mason,alicia88@hotmail.com,+1-235-967-3921x21884,attendee,,Andersonport University,sophomore,"Avery, Long and Johnson"
Tom Brooks,kevin63@hotmail.com,+1-326-309-6392x0800,attendee,,New Austin University,junior,Dennis Inc
Tracy Brown,nicholas25@yahoo.com,(404)473-4396x503,attendee,,Maryberg University,junior,White Group
Kevin Reyes,simmonsholly@gmail.com,730-912-3573,attendee,,South Jim University,graduate,Atkinson-Randolph
Nathaniel Cummings,roberto73@yahoo.com,8894671739,attendee,,Lake Rogerchester University,senior,Abbott-Smith
Kayla Hamilton,shawnrobinson@hotmail.com,001-684-822-8924x10979,attendee,,Port Ann University,graduate,Adams and Sons
James Buck,cruzjasmine@yahoo.com,6933005159,attendee,,Pearsonshire University,junior,Adams-Mullen
Savannah Moore,thompsonlisa@hotmail.com,294.899.2037x0645,attendee,,Timothyside University,graduate,"Hill, Guerrero and Shaw"
Mary Mason,vincentsanders@gmail.com,844.532.1912x4112,staff,security,Johnchester University,freshman,Cameron-Watkins
Paul Herman,kiara26@gmail.com,917-284-8352x838,staff,logistics,Elizabethstad University,graduate,"Holland, Neal and Haas"
James Welch,kathrynjones@gmail.com,585.319.3952x327,staff,registration,North Richardmouth University,junior,Blackwell and Sons
Terry Fowler,kelly35@hotmail.com,001-823-598-2110x4503,staff,operations,Johnnyberg University,junior,Burke-Hunter
