email,full_name,subteam,day,start_time,end_time,room,zoom_url,title,description,speaker
marshpaul@gmail.com,Thomas Ortiz,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
gilbertshannon@gmail.com,Tyler Ford,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
mcooper@hotmail.com,Erica Smith,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
dspears@hotmail.com,Laura Munoz,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
tjones@gmail.com,Michael Weaver,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
qshaffer@yahoo.com,Matthew Hunt,security,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
bknight@hotmail.com,Brenda Ellis,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
annettewilliams@yahoo.com,Jeremy Fischer,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
natalie92@gmail.com,Kim Williams,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
wendy99@yahoo.com,Timothy Lopez,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
patrickblair@hotmail.com,Lisa Thompson,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
mariahayes@gmail.com,Christina Brown,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
xgardner@hotmail.com,Shawn Murillo,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
thomas43@yahoo.com,Richard Dixon,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
ghunt@yahoo.com,Christopher Mason,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
smithandres@gmail.com,Megan Lawrence,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
agross@gmail.com,Mary Clay,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
christopher00@hotmail.com,Lisa Bradford,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
angelagibson@gmail.com,John Bush,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
cruzsusan@yahoo.com,Bradley Sanchez,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
darrensoto@yahoo.com,Jesse Payne,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
greeneluke@hotmail.com,Marvin Banks,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
kathleenlynch@yahoo.com,Wanda Guerrero,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
alicia88@hotmail.com,Alexis Mason,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
kevin63@hotmail.com,Tom Brooks,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
nicholas25@yahoo.com,Tracy Brown,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
simmonsholly@gmail.com,Kevin Reyes,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
roberto73@yahoo.com,Nathaniel Cummings,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
shawnrobinson@hotmail.com,Kayla Hamilton,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
cruzjasmine@yahoo.com,James Buck,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
thompsonlisa@hotmail.com,Savannah Moore,,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
vincentsanders@gmail.com,Mary Mason,security,Day 1,09:00,09:50,,https://zoom.example.com/j/5315395409,Page return election station mind hot.,Start up action make middle likely collection move name evening radio.,Alexander Henderson
