created_at,help_type,priority,status,details,email,full_name,role,subteam
1765427952270,other,medium,resolved,Condition smile everything answer hold account college along friend wear energy agency single else north play.,fdavis@hotmail.com,Jonathan Olsen,attendee,
1765427952270,other,high,resolved,Across purpose over already agent sure tax case health most teacher top floor wrong identify other present no recently while decade political share rather available interest develop speech skill someone three ground need as.,qrandall@yahoo.com,Jessica Delacruz,attendee,
1765427952270,other,low,resolved,Sing difference develop image know above time old picture day seem however mission themselves store owner show detail.,ryanwhite@gmail.com,Mindy Johnson,staff,technology
1765427952270,other,low,resolved,Its game who us stay bank care system customer enough worker southern life mission already best difficult crime full.,eadams@hotmail.com,John Graves,attendee,
1765427952270,other,low,pending,Center until surface marriage final should statement recognize read field quality city during very far bed doctor thousand hot would management ability investment than all computer yeah free power however travel.,samantha81@yahoo.com,David Anderson,attendee,
1765427952270,urgent,medium,pending,Focus bar throw help last marriage hospital agency take Mrs moment right gas strategy safe seem both quickly follow foreign stock onto camera Congress radio organization pass at apply deep wonder pay represent begin.,ericarogers@hotmail.com,Thomas Wong,staff,security
1765427952270,other,low,failure,Side over hospital drive keep individual particular sign animal blood start chair today direction they early region time reduce suddenly kind let.,zwoods@hotmail.com,Billy Manning,staff,technology
1765427952270,urgent,high,resolved,Station mother four church computer entire ahead scene this minute himself nor standard Mrs recently cut national hard unit together a lot bank particularly fine situation test create first up through rule.,hwilliams@gmail.com,David Thompson II,attendee,
1765427952271,other,medium,resolved,Natural front individual career animal must participant reduce fish father successful long center very figure.,josephcollins@gmail.com,Bryan Huynh,attendee,
1765427952271,question,high,pending,Prepare news three game war most cost several expert bad seven way TV lead teacher near scene arm from finish contain plant discussion it challenge that where left just section maybe even.,mellis@gmail.com,Timothy Larsen,attendee,
1765427952271,question,high,resolved,Sense rock box job me national increase successful college guy born wait exist hot try us two trade coach watch hope fear stuff cell one us low ground middle per follow cost order.,alicia79@gmail.com,Lisa Gomez,staff,security
1765427952271,urgent,medium,pending,Magazine age want near can close customer try kind computer never painting stand try character collection will work too end collection newspaper spend keep fall partner staff.,seanparker@hotmail.com,Katie Jones,attendee,
