full_name,email,phone,role,subteam,school,grade,company
Jonathan Mejia,amanda81@hotmail.com,247-604-8061x792,attendee,,North Daniel University,sophomore,Hunt Ltd
Haley Edwards,dixonmichelle@hotmail.com,316.437.5875x02410,attendee,,North Karl University,junior,"Mcdonald, Merritt and Paul"
Jessica Howard,gfletcher@gmail.com,+1-238-472-8151,attendee,,North Rebecca University,other,"Hughes, Warner and Ward"
Barbara Brown,collinspaul@gmail.com,361-318-0435,attendee,,Kathleenstad University,junior,Black-Long
Brandon Hall,coxmartin@gmail.com,685-442-5664x060,attendee,,New Ronaldhaven University,junior,"Hogan, Robinson and King"
Steven Lewis,cheryl73@gmail.com,751-714-7227x917,attendee,,Wrightchester University,graduate,Jacobs-Williams
Tiffany Johnson,nataliecoffey@hotmail.com,724.987.2137x96561,staff,operations,Barnettmouth University,graduate,"Clark, Meadows and Wiley"
Jordan Martin DDS,tfrench@yahoo.com,+1-796-366-2721x9672,attendee,,Lake Timothy University,other,"Phillips, Miller and Smith"
Monica Watkins,kaylaalvarez@yahoo.com,642.414.8777x76164,attendee,,West Johnny University,graduate,"Lowe, Sheppard and Burns"
Mary Roman,grossjulie@gmail.com,+1-367-644-8339x26721,staff,registration,Amandatown University,senior,Williams-Martin
Natalie Hawkins,kimberlycastillo@hotmail.com,836.991.2280x9504,attendee,,Lake Pamchester University,graduate,"Lopez, Middleton and Peterson"
Jon Colon,kyle00@gmail.com,247-784-6143x4412,attendee,,North Jamesmouth University,senior,Berger-Adkins
Felicia Harris,johnharris@yahoo.com,307-701-0641,attendee,,South Mark University,other,Harrison and Sons
Jamie Jacobs,christinerogers@gmail.com,262-534-1736x264,staff,logistics,Amberfurt University,senior,"Allison, Pruitt and Wu"
Patrick Jenkins,sarah84@gmail.com,001-919-284-1645x17892,attendee,,North Kimbury University,freshman,"Chapman, Serrano and Fields"
Tammy Jones,kimberly42@gmail.com,709.333.1295x5575,attendee,,Annaland University,sophomore,Cordova Group
Duane Rice,johncamacho@yahoo.com,403.514.8452,staff,security,West Jamesport University,other,Delgado Ltd
