created_at,help_type,priority,status,details,email,full_name,role,subteam
1764484731180,question,medium,failure,International there coach peace collection form before buy reveal industry similar executive image president food into grow news rate born reflect ahead.,jameswest@gmail.com,Andrew Malone,attendee,
1764484731180,question,low,failure,Often serve try about hit model suffer under perhaps amount entire these outside maintain professor success including their method song simply few score month away college certainly simply spend party only audience worker then.,brianablack@hotmail.com,Cynthia Mayer,attendee,
1764484731180,question,medium,pending,Wear city attack low citizen whom maybe upon hair heavy during science summer free suddenly quite recent soldier available indeed car Mr business maybe key fact religious stay sure goal.,piercecarol@yahoo.com,Jordan Mcintyre,attendee,
1764484731180,question,medium,resolved,Music main after seem camera through order us leave agency seat put compare sister environment society serious.,wilsonjaclyn@yahoo.com,Lisa Dean,staff,finance
1764484731180,urgent,low,resolved,Gas realize continue head manage street class walk everyone character majority civil at month treat popular write table understand various within defense enough care career than.,vlawrence@yahoo.com,Lindsey Hernandez,attendee,
1764484731180,question,low,resolved,Be security money seem life song realize clear country stay risk account difference international while imagine seek but less after thank away night necessary past wide identify scientist leader attention few.,andreawolfe@gmail.com,Emily Hill,attendee,
1764484731180,question,high,pending,Traditional heart upon easy next else heavy exist same total perform herself page three new option let indeed car example agreement standard sure near stage service name general gun everything by past.,brookslisa@gmail.com,Cameron Anderson,attendee,
1764484731180,other,medium,failure,Maintain mention road wait accept debate red food respond care finish Democrat under land compare perhaps century feel wife myself amount must keep space your well top despite sell loss.,udillon@yahoo.com,Mrs. Mikayla Martinez,attendee,
1764484731180,other,medium,failure,Town type structure finally need send above price the somebody hear third economy difficult season idea allow easy stop moment deep amount join detail consider glass material natural care baby toward into.,jrogers@hotmail.com,Tina Jenkins,staff,security
1764484731180,question,high,resolved,Above off people help campaign prevent executive put population per us might party course affect find method itself understand nation relationship buy outside sound wish oil deep cup eat democratic condition medical summer.,twhite@gmail.com,Carl Walton,staff,operations
1764484731180,question,low,resolved,Education doctor day black author available interest choice enough probably eat home report hundred night mission dog.,edwardjennings@hotmail.com,Laura Williams,attendee,
